Sequence Name,Name,Minimum,Maximum,Length,Repeat Unit
Pf3D7_07_v3,Mononucleotide Repeat,737178,737186,9,A
Pf3D7_07_v3,Mononucleotide Repeat,737235,737243,9,A
Pf3D7_07_v3,Mononucleotide Repeat,737421,737436,16,A
Pf3D7_07_v3,Mononucleotide Repeat,737459,737483,25,A
Pf3D7_07_v3,Mononucleotide Repeat,737505,737535,31,A
Pf3D7_07_v3,Mononucleotide Repeat,737649,737662,14,A
Pf3D7_07_v3,Mononucleotide Repeat,737717,737726,10,A
Pf3D7_07_v3,Mononucleotide Repeat,737937,737959,23,A
Pf3D7_07_v3,Mononucleotide Repeat,738460,738469,10,A
Pf3D7_07_v3,Mononucleotide Repeat,738690,738724,35,A
Pf3D7_07_v3,Mononucleotide Repeat,739045,739070,26,A
Pf3D7_07_v3,Mononucleotide Repeat,739295,739303,9,A
Pf3D7_07_v3,Mononucleotide Repeat,739441,739449,9,A
Pf3D7_07_v3,Mononucleotide Repeat,739561,739593,33,A
Pf3D7_07_v3,Mononucleotide Repeat,739625,739633,9,A
Pf3D7_07_v3,Mononucleotide Repeat,739638,739649,12,A
Pf3D7_07_v3,Mononucleotide Repeat,740184,740198,15,A
Pf3D7_07_v3,Mononucleotide Repeat,740577,740597,21,A
Pf3D7_07_v3,Mononucleotide Repeat,740768,740788,21,A
Pf3D7_07_v3,Mononucleotide Repeat,740838,740851,14,A
Pf3D7_07_v3,Mononucleotide Repeat,741497,741505,9,A
Pf3D7_07_v3,Mononucleotide Repeat,741564,741583,20,A
Pf3D7_07_v3,Mononucleotide Repeat,741612,741627,16,A
Pf3D7_07_v3,Mononucleotide Repeat,741633,741650,18,A
Pf3D7_07_v3,Mononucleotide Repeat,742675,742683,9,A
Pf3D7_07_v3,Mononucleotide Repeat,743412,743420,9,A
Pf3D7_07_v3,Mononucleotide Repeat,743737,743746,10,A
Pf3D7_07_v3,Mononucleotide Repeat,744721,744747,27,A
Pf3D7_07_v3,Mononucleotide Repeat,744840,744851,12,A
Pf3D7_07_v3,Mononucleotide Repeat,744964,744972,9,A
Pf3D7_07_v3,Mononucleotide Repeat,745026,745046,21,A
Pf3D7_07_v3,Mononucleotide Repeat,745079,745093,15,A
Pf3D7_07_v3,Mononucleotide Repeat,745824,745832,9,A
Pf3D7_07_v3,Mononucleotide Repeat,746350,746362,13,A
Pf3D7_07_v3,Mononucleotide Repeat,746780,746788,9,A
Pf3D7_07_v3,Mononucleotide Repeat,747094,747109,16,A
Pf3D7_07_v3,Mononucleotide Repeat,747248,747262,15,A
Pf3D7_07_v3,Mononucleotide Repeat,747271,747284,14,A
Pf3D7_07_v3,Mononucleotide Repeat,747293,747308,16,A
Pf3D7_07_v3,Mononucleotide Repeat,747453,747478,26,A
Pf3D7_07_v3,Mononucleotide Repeat,747614,747622,9,A
Pf3D7_07_v3,Mononucleotide Repeat,747822,747831,10,A
Pf3D7_07_v3,Mononucleotide Repeat,747841,747863,23,A
Pf3D7_07_v3,Mononucleotide Repeat,747964,747974,11,A
Pf3D7_07_v3,Mononucleotide Repeat,748222,748240,19,A
Pf3D7_07_v3,Mononucleotide Repeat,748338,748347,10,A
Pf3D7_07_v3,Mononucleotide Repeat,748367,748385,19,A
Pf3D7_07_v3,Mononucleotide Repeat,748474,748512,39,A
Pf3D7_07_v3,Mononucleotide Repeat,748817,748831,15,A
Pf3D7_07_v3,Mononucleotide Repeat,748939,748967,29,A
Pf3D7_07_v3,Mononucleotide Repeat,749336,749348,13,A
Pf3D7_07_v3,Mononucleotide Repeat,749496,749507,12,A
Pf3D7_07_v3,Mononucleotide Repeat,749894,749937,44,A
Pf3D7_07_v3,Mononucleotide Repeat,749964,749981,18,A
Pf3D7_07_v3,Mononucleotide Repeat,750129,750138,10,A
Pf3D7_07_v3,Mononucleotide Repeat,750904,750921,18,A
Pf3D7_07_v3,Mononucleotide Repeat,751033,751044,12,A
Pf3D7_07_v3,Mononucleotide Repeat,751206,751238,33,A
Pf3D7_07_v3,Mononucleotide Repeat,751480,751490,11,A
Pf3D7_07_v3,Mononucleotide Repeat,751541,751553,13,A
Pf3D7_07_v3,Mononucleotide Repeat,751567,751592,26,A
Pf3D7_07_v3,Mononucleotide Repeat,751663,751673,11,A
Pf3D7_07_v3,Mononucleotide Repeat,752258,752270,13,A
Pf3D7_07_v3,Mononucleotide Repeat,753197,753205,9,A
Pf3D7_07_v3,Mononucleotide Repeat,754384,754395,12,A
Pf3D7_07_v3,Mononucleotide Repeat,754581,754595,15,A
Pf3D7_07_v3,Mononucleotide Repeat,754878,754892,15,A
Pf3D7_07_v3,Mononucleotide Repeat,755020,755053,34,A
Pf3D7_07_v3,Mononucleotide Repeat,755077,755114,38,A
Pf3D7_07_v3,Mononucleotide Repeat,755319,755327,9,A
Pf3D7_07_v3,Mononucleotide Repeat,755437,755445,9,A
Pf3D7_07_v3,Mononucleotide Repeat,755456,755474,19,A
Pf3D7_07_v3,Mononucleotide Repeat,755538,755554,17,A
Pf3D7_07_v3,Mononucleotide Repeat,756874,756882,9,A
Pf3D7_07_v3,Mononucleotide Repeat,756884,756899,16,A
Pf3D7_07_v3,Mononucleotide Repeat,757778,757792,15,A
Pf3D7_07_v3,Mononucleotide Repeat,757824,757839,16,A
Pf3D7_07_v3,Mononucleotide Repeat,757889,757902,14,A
Pf3D7_07_v3,Mononucleotide Repeat,757951,757960,10,A
Pf3D7_07_v3,Mononucleotide Repeat,757968,757984,17,A
Pf3D7_07_v3,Mononucleotide Repeat,758233,758243,11,A
Pf3D7_07_v3,Mononucleotide Repeat,758356,758376,21,A
Pf3D7_07_v3,Mononucleotide Repeat,758449,758478,30,A
Pf3D7_07_v3,Mononucleotide Repeat,758587,758602,16,A
Pf3D7_07_v3,Mononucleotide Repeat,759755,759785,31,A
Pf3D7_07_v3,Mononucleotide Repeat,760282,760297,16,A
Pf3D7_07_v3,Mononucleotide Repeat,760854,760862,9,A
Pf3D7_07_v3,Mononucleotide Repeat,761394,761404,11,A
Pf3D7_07_v3,Mononucleotide Repeat,761932,761941,10,A
Pf3D7_07_v3,Mononucleotide Repeat,762231,762239,9,A
Pf3D7_07_v3,Mononucleotide Repeat,762999,763007,9,A
Pf3D7_07_v3,Mononucleotide Repeat,763351,763388,38,A
Pf3D7_07_v3,Mononucleotide Repeat,763587,763596,10,A
Pf3D7_07_v3,Mononucleotide Repeat,763771,763780,10,A
Pf3D7_07_v3,Mononucleotide Repeat,763983,763993,11,A
Pf3D7_07_v3,Mononucleotide Repeat,764157,764166,10,A
Pf3D7_07_v3,Mononucleotide Repeat,764220,764238,19,A
Pf3D7_07_v3,Mononucleotide Repeat,764551,764566,16,A
Pf3D7_07_v3,Mononucleotide Repeat,765522,765530,9,A
Pf3D7_07_v3,Mononucleotide Repeat,766247,766255,9,A
Pf3D7_07_v3,Mononucleotide Repeat,766441,766473,33,A
Pf3D7_07_v3,Mononucleotide Repeat,766512,766538,27,A
Pf3D7_07_v3,Mononucleotide Repeat,766910,766918,9,A
Pf3D7_07_v3,Mononucleotide Repeat,766920,766935,16,A
Pf3D7_07_v3,Mononucleotide Repeat,767217,767229,13,A
Pf3D7_07_v3,Mononucleotide Repeat,767231,767243,13,A
Pf3D7_07_v3,Mononucleotide Repeat,767245,767257,13,A
Pf3D7_07_v3,Mononucleotide Repeat,767259,767271,13,A
Pf3D7_07_v3,Mononucleotide Repeat,767273,767285,13,A
Pf3D7_07_v3,Mononucleotide Repeat,767287,767299,13,A
Pf3D7_07_v3,Mononucleotide Repeat,767301,767313,13,A
Pf3D7_07_v3,Mononucleotide Repeat,767328,767336,9,A
Pf3D7_07_v3,Mononucleotide Repeat,767752,767761,10,A
Pf3D7_07_v3,Mononucleotide Repeat,767966,767974,9,A
Pf3D7_07_v3,Mononucleotide Repeat,768048,768056,9,A
Pf3D7_07_v3,Mononucleotide Repeat,768659,768674,16,A
Pf3D7_07_v3,Mononucleotide Repeat,768726,768734,9,A
Pf3D7_07_v3,Mononucleotide Repeat,770503,770518,16,A
Pf3D7_07_v3,Mononucleotide Repeat,770604,770614,11,A
Pf3D7_07_v3,Mononucleotide Repeat,770855,770874,20,A
Pf3D7_07_v3,Mononucleotide Repeat,770895,770903,9,A
Pf3D7_07_v3,Mononucleotide Repeat,770952,770973,22,A
Pf3D7_07_v3,Mononucleotide Repeat,771349,771357,9,A
Pf3D7_07_v3,Mononucleotide Repeat,772267,772283,17,A
Pf3D7_07_v3,Mononucleotide Repeat,772425,772437,13,A
Pf3D7_07_v3,Mononucleotide Repeat,772553,772562,10,A
Pf3D7_07_v3,Mononucleotide Repeat,772698,772710,13,A
Pf3D7_07_v3,Mononucleotide Repeat,772876,772887,12,A
Pf3D7_07_v3,Mononucleotide Repeat,772970,772979,10,A
Pf3D7_07_v3,Mononucleotide Repeat,773015,773034,20,A
Pf3D7_07_v3,Mononucleotide Repeat,773164,773187,24,A
Pf3D7_07_v3,Mononucleotide Repeat,774529,774553,25,A
Pf3D7_07_v3,Mononucleotide Repeat,774832,774843,12,A
Pf3D7_07_v3,Mononucleotide Repeat,774948,774960,13,A
Pf3D7_07_v3,Mononucleotide Repeat,775453,775471,19,A
Pf3D7_07_v3,Mononucleotide Repeat,775605,775624,20,A
Pf3D7_07_v3,Mononucleotide Repeat,775746,775773,28,A
Pf3D7_07_v3,Mononucleotide Repeat,775864,775872,9,A
Pf3D7_07_v3,Mononucleotide Repeat,776116,776132,17,A
Pf3D7_07_v3,Mononucleotide Repeat,776269,776298,30,A
Pf3D7_07_v3,Mononucleotide Repeat,777170,777206,37,A
Pf3D7_07_v3,Mononucleotide Repeat,777420,777431,12,A
Pf3D7_07_v3,Mononucleotide Repeat,778153,778167,15,A
Pf3D7_07_v3,Mononucleotide Repeat,778259,778271,13,A
Pf3D7_07_v3,Mononucleotide Repeat,779161,779173,13,A
Pf3D7_07_v3,Mononucleotide Repeat,779569,779583,15,A
Pf3D7_07_v3,Mononucleotide Repeat,779819,779830,12,A
Pf3D7_07_v3,Mononucleotide Repeat,780270,780279,10,A
Pf3D7_07_v3,Mononucleotide Repeat,782191,782200,10,A
Pf3D7_07_v3,Mononucleotide Repeat,782395,782403,9,A
Pf3D7_07_v3,Mononucleotide Repeat,783761,783771,11,A
Pf3D7_07_v3,Mononucleotide Repeat,783839,783847,9,A
Pf3D7_07_v3,Mononucleotide Repeat,784160,784174,15,A
Pf3D7_07_v3,Mononucleotide Repeat,784929,784938,10,A
Pf3D7_07_v3,Mononucleotide Repeat,786730,786738,9,A
Pf3D7_07_v3,Mononucleotide Repeat,787737,787747,11,A
Pf3D7_07_v3,Mononucleotide Repeat,788950,788964,15,A
Pf3D7_07_v3,Mononucleotide Repeat,788976,788984,9,A
Pf3D7_07_v3,Mononucleotide Repeat,789266,789276,11,A
Pf3D7_07_v3,Mononucleotide Repeat,789384,789392,9,A
Pf3D7_07_v3,Mononucleotide Repeat,789819,789828,10,A
Pf3D7_07_v3,Mononucleotide Repeat,790347,790355,9,A
Pf3D7_07_v3,Mononucleotide Repeat,790958,790966,9,A
Pf3D7_07_v3,Mononucleotide Repeat,791496,791504,9,A
Pf3D7_07_v3,Mononucleotide Repeat,791928,791936,9,A
Pf3D7_07_v3,Mononucleotide Repeat,792148,792156,9,A
Pf3D7_07_v3,Mononucleotide Repeat,792306,792323,18,A
Pf3D7_07_v3,Mononucleotide Repeat,792400,792409,10,A
Pf3D7_07_v3,Mononucleotide Repeat,792423,792431,9,A
Pf3D7_07_v3,Mononucleotide Repeat,792919,792929,11,A
Pf3D7_07_v3,Mononucleotide Repeat,793926,793934,9,A
Pf3D7_07_v3,Mononucleotide Repeat,793985,794021,37,A
Pf3D7_07_v3,Mononucleotide Repeat,794552,794560,9,A
Pf3D7_07_v3,Mononucleotide Repeat,794596,794606,11,A
Pf3D7_07_v3,Mononucleotide Repeat,794807,794819,13,A
Pf3D7_07_v3,Mononucleotide Repeat,795175,795188,14,A
Pf3D7_07_v3,Mononucleotide Repeat,795505,795531,27,A
Pf3D7_07_v3,Mononucleotide Repeat,795595,795603,9,A
Pf3D7_07_v3,Mononucleotide Repeat,795737,795746,10,A
Pf3D7_07_v3,Mononucleotide Repeat,796146,796157,12,A
Pf3D7_07_v3,Mononucleotide Repeat,796438,796454,17,A
Pf3D7_07_v3,Mononucleotide Repeat,797041,797050,10,A
Pf3D7_07_v3,Mononucleotide Repeat,799892,799905,14,A
Pf3D7_07_v3,Mononucleotide Repeat,801520,801528,9,A
Pf3D7_07_v3,Mononucleotide Repeat,802633,802642,10,A
Pf3D7_07_v3,Mononucleotide Repeat,804757,804765,9,A
Pf3D7_07_v3,Mononucleotide Repeat,805002,805010,9,A
Pf3D7_07_v3,Mononucleotide Repeat,805162,805186,25,A
Pf3D7_07_v3,Mononucleotide Repeat,805198,805206,9,A
Pf3D7_07_v3,Mononucleotide Repeat,805236,805261,26,A
Pf3D7_07_v3,Mononucleotide Repeat,805379,805388,10,A
Pf3D7_07_v3,Mononucleotide Repeat,805837,805863,27,A
Pf3D7_07_v3,Mononucleotide Repeat,805911,805923,13,A
Pf3D7_07_v3,Mononucleotide Repeat,806302,806314,13,A
Pf3D7_07_v3,Mononucleotide Repeat,806974,806983,10,A
Pf3D7_07_v3,Mononucleotide Repeat,808021,808034,14,A
Pf3D7_07_v3,Mononucleotide Repeat,808196,808204,9,A
Pf3D7_07_v3,Mononucleotide Repeat,808572,808580,9,A
Pf3D7_07_v3,Mononucleotide Repeat,809515,809523,9,A
Pf3D7_07_v3,Mononucleotide Repeat,809684,809692,9,A
Pf3D7_07_v3,Mononucleotide Repeat,811683,811691,9,A
Pf3D7_07_v3,Mononucleotide Repeat,811722,811730,9,A
Pf3D7_07_v3,Mononucleotide Repeat,812209,812230,22,A
Pf3D7_07_v3,Mononucleotide Repeat,813315,813323,9,A
Pf3D7_07_v3,Mononucleotide Repeat,814489,814497,9,A
Pf3D7_07_v3,Mononucleotide Repeat,815439,815447,9,A
Pf3D7_07_v3,Mononucleotide Repeat,818102,818118,17,A
Pf3D7_07_v3,Mononucleotide Repeat,818160,818169,10,A
Pf3D7_07_v3,Mononucleotide Repeat,818697,818705,9,A
Pf3D7_07_v3,Mononucleotide Repeat,819715,819739,25,A
Pf3D7_07_v3,Mononucleotide Repeat,820195,820205,11,A
Pf3D7_07_v3,Mononucleotide Repeat,820603,820611,9,A
Pf3D7_07_v3,Mononucleotide Repeat,820823,820831,9,A
Pf3D7_07_v3,Mononucleotide Repeat,820881,820920,40,A
Pf3D7_07_v3,Mononucleotide Repeat,820951,820967,17,A
Pf3D7_07_v3,Mononucleotide Repeat,821000,821009,10,A
Pf3D7_07_v3,Mononucleotide Repeat,821236,821269,34,A
Pf3D7_07_v3,Mononucleotide Repeat,821533,821546,14,A
Pf3D7_07_v3,Mononucleotide Repeat,821654,821662,9,A
Pf3D7_07_v3,Mononucleotide Repeat,821668,821676,9,A
Pf3D7_07_v3,Mononucleotide Repeat,821683,821691,9,A
Pf3D7_07_v3,Mononucleotide Repeat,821698,821706,9,A
Pf3D7_07_v3,Mononucleotide Repeat,821728,821744,17,A
Pf3D7_07_v3,Mononucleotide Repeat,821802,821817,16,A
Pf3D7_07_v3,Mononucleotide Repeat,821910,821930,21,A
Pf3D7_07_v3,Mononucleotide Repeat,821974,821983,10,A
Pf3D7_07_v3,Mononucleotide Repeat,822026,822037,12,A
Pf3D7_07_v3,Mononucleotide Repeat,822118,822126,9,A
Pf3D7_07_v3,Mononucleotide Repeat,822212,822220,9,A
Pf3D7_07_v3,Mononucleotide Repeat,822623,822646,24,A
Pf3D7_07_v3,Mononucleotide Repeat,823215,823230,16,A
Pf3D7_07_v3,Mononucleotide Repeat,823258,823276,19,A
Pf3D7_07_v3,Mononucleotide Repeat,823829,823838,10,A
Pf3D7_07_v3,Mononucleotide Repeat,824094,824103,10,A
Pf3D7_07_v3,Mononucleotide Repeat,824224,824236,13,A
Pf3D7_07_v3,Mononucleotide Repeat,824238,824251,14,A
Pf3D7_07_v3,Mononucleotide Repeat,824622,824631,10,A
Pf3D7_07_v3,Mononucleotide Repeat,825177,825185,9,A
Pf3D7_07_v3,Mononucleotide Repeat,825341,825350,10,A
Pf3D7_07_v3,Mononucleotide Repeat,825709,825719,11,A
Pf3D7_07_v3,Mononucleotide Repeat,825986,826013,28,A
Pf3D7_07_v3,Mononucleotide Repeat,826155,826167,13,A
Pf3D7_07_v3,Mononucleotide Repeat,826321,826330,10,A
Pf3D7_07_v3,Mononucleotide Repeat,826354,826370,17,A
Pf3D7_07_v3,Mononucleotide Repeat,826455,826486,32,A
Pf3D7_07_v3,Mononucleotide Repeat,826563,826578,16,A
Pf3D7_07_v3,Mononucleotide Repeat,826982,826990,9,A
Pf3D7_07_v3,Mononucleotide Repeat,827003,827022,20,A
Pf3D7_07_v3,Mononucleotide Repeat,827436,827445,10,A
Pf3D7_07_v3,Mononucleotide Repeat,827656,827664,9,A
Pf3D7_07_v3,Mononucleotide Repeat,827676,827684,9,A
Pf3D7_07_v3,Mononucleotide Repeat,828093,828122,30,A
Pf3D7_07_v3,Mononucleotide Repeat,828933,828941,9,A
Pf3D7_07_v3,Mononucleotide Repeat,830237,830246,10,A
Pf3D7_07_v3,Mononucleotide Repeat,830301,830327,27,A
Pf3D7_07_v3,Mononucleotide Repeat,831159,831168,10,A
Pf3D7_07_v3,Mononucleotide Repeat,831526,831541,16,A
Pf3D7_07_v3,Mononucleotide Repeat,832330,832338,9,A
Pf3D7_07_v3,Mononucleotide Repeat,832732,832741,10,A
Pf3D7_07_v3,Mononucleotide Repeat,832900,832908,9,A
Pf3D7_07_v3,Mononucleotide Repeat,833127,833143,17,A
Pf3D7_07_v3,Mononucleotide Repeat,833332,833360,29,A
Pf3D7_07_v3,Mononucleotide Repeat,833804,833812,9,A
Pf3D7_07_v3,Mononucleotide Repeat,834494,834506,13,A
Pf3D7_07_v3,Mononucleotide Repeat,834817,834825,9,A
Pf3D7_07_v3,Mononucleotide Repeat,835084,835092,9,A
Pf3D7_07_v3,Mononucleotide Repeat,835189,835197,9,A
Pf3D7_07_v3,Mononucleotide Repeat,835392,835401,10,A
Pf3D7_07_v3,Mononucleotide Repeat,835458,835468,11,A
Pf3D7_07_v3,Mononucleotide Repeat,835493,835507,15,A
Pf3D7_07_v3,Mononucleotide Repeat,836727,836735,9,A
Pf3D7_07_v3,Mononucleotide Repeat,837216,837226,11,A
Pf3D7_07_v3,Mononucleotide Repeat,837426,837435,10,A
Pf3D7_07_v3,Mononucleotide Repeat,837469,837477,9,A
Pf3D7_07_v3,Mononucleotide Repeat,837988,838014,27,A
Pf3D7_07_v3,Mononucleotide Repeat,838921,838932,12,A
Pf3D7_07_v3,Mononucleotide Repeat,838961,838970,10,A
Pf3D7_07_v3,Mononucleotide Repeat,839352,839361,10,A
Pf3D7_07_v3,Mononucleotide Repeat,839616,839628,13,A
Pf3D7_07_v3,Mononucleotide Repeat,839791,839823,33,A
Pf3D7_07_v3,Mononucleotide Repeat,840123,840138,16,A
Pf3D7_07_v3,Mononucleotide Repeat,840205,840213,9,A
Pf3D7_07_v3,Mononucleotide Repeat,840286,840310,25,A
Pf3D7_07_v3,Mononucleotide Repeat,840415,840430,16,A
Pf3D7_07_v3,Mononucleotide Repeat,840660,840685,26,A
Pf3D7_07_v3,Mononucleotide Repeat,840704,840716,13,A
Pf3D7_07_v3,Mononucleotide Repeat,840737,840748,12,A
Pf3D7_07_v3,Mononucleotide Repeat,840872,840880,9,A
Pf3D7_07_v3,Mononucleotide Repeat,840882,840890,9,A
Pf3D7_07_v3,Mononucleotide Repeat,841410,841420,11,A
Pf3D7_07_v3,Mononucleotide Repeat,841428,841440,13,A
Pf3D7_07_v3,Mononucleotide Repeat,841615,841625,11,A
Pf3D7_07_v3,Mononucleotide Repeat,841973,841983,11,A
Pf3D7_07_v3,Mononucleotide Repeat,842362,842391,30,A
Pf3D7_07_v3,Mononucleotide Repeat,843040,843060,21,A
Pf3D7_07_v3,Mononucleotide Repeat,843172,843184,13,A
Pf3D7_07_v3,Mononucleotide Repeat,843383,843403,21,A
Pf3D7_07_v3,Mononucleotide Repeat,843720,843730,11,A
Pf3D7_07_v3,Mononucleotide Repeat,844074,844082,9,A
Pf3D7_07_v3,Mononucleotide Repeat,844193,844202,10,A
Pf3D7_07_v3,Mononucleotide Repeat,844204,844213,10,A
Pf3D7_07_v3,Mononucleotide Repeat,844284,844317,34,A
Pf3D7_07_v3,Mononucleotide Repeat,844398,844410,13,A
Pf3D7_07_v3,Mononucleotide Repeat,844430,844447,18,A
Pf3D7_07_v3,Mononucleotide Repeat,846319,846329,11,A
Pf3D7_07_v3,Mononucleotide Repeat,846331,846339,9,A
Pf3D7_07_v3,Mononucleotide Repeat,847705,847720,16,A
Pf3D7_07_v3,Mononucleotide Repeat,847722,847768,47,A
Pf3D7_07_v3,Mononucleotide Repeat,847777,847787,11,A
Pf3D7_07_v3,Mononucleotide Repeat,848075,848086,12,A
Pf3D7_07_v3,Mononucleotide Repeat,848157,848194,38,A
Pf3D7_07_v3,Mononucleotide Repeat,848401,848409,9,A
Pf3D7_07_v3,Mononucleotide Repeat,849054,849063,10,A
Pf3D7_07_v3,Mononucleotide Repeat,849242,849264,23,A
Pf3D7_07_v3,Mononucleotide Repeat,849484,849493,10,A
Pf3D7_07_v3,Mononucleotide Repeat,849697,849710,14,A
Pf3D7_07_v3,Mononucleotide Repeat,851182,851201,20,A
Pf3D7_07_v3,Mononucleotide Repeat,852044,852052,9,A
Pf3D7_07_v3,Mononucleotide Repeat,852842,852852,11,A
Pf3D7_07_v3,Mononucleotide Repeat,853091,853111,21,A
Pf3D7_07_v3,Mononucleotide Repeat,853743,853759,17,A
Pf3D7_07_v3,Mononucleotide Repeat,853880,853899,20,A
Pf3D7_07_v3,Mononucleotide Repeat,854020,854029,10,A
Pf3D7_07_v3,Mononucleotide Repeat,854098,854117,20,A
Pf3D7_07_v3,Mononucleotide Repeat,854121,854132,12,A
Pf3D7_07_v3,Mononucleotide Repeat,854170,854180,11,A
Pf3D7_07_v3,Mononucleotide Repeat,854288,854309,22,A
Pf3D7_07_v3,Mononucleotide Repeat,854750,854761,12,A
Pf3D7_07_v3,Mononucleotide Repeat,855660,855673,14,A
Pf3D7_07_v3,Mononucleotide Repeat,855675,855688,14,A
Pf3D7_07_v3,Mononucleotide Repeat,856614,856624,11,A
Pf3D7_07_v3,Mononucleotide Repeat,856724,856741,18,A
Pf3D7_07_v3,Mononucleotide Repeat,856767,856799,33,A
Pf3D7_07_v3,Mononucleotide Repeat,857070,857093,24,A
Pf3D7_07_v3,Mononucleotide Repeat,857267,857277,11,A
Pf3D7_07_v3,Mononucleotide Repeat,857450,857466,17,A
Pf3D7_07_v3,Mononucleotide Repeat,857490,857498,9,A
Pf3D7_07_v3,Mononucleotide Repeat,857773,857781,9,A
Pf3D7_07_v3,Mononucleotide Repeat,858075,858091,17,A
Pf3D7_07_v3,Mononucleotide Repeat,858448,858474,27,A
Pf3D7_07_v3,Mononucleotide Repeat,858594,858612,19,A
Pf3D7_07_v3,Mononucleotide Repeat,859504,859513,10,A
Pf3D7_07_v3,Mononucleotide Repeat,859600,859609,10,A
Pf3D7_07_v3,Mononucleotide Repeat,859676,859685,10,A
Pf3D7_07_v3,Mononucleotide Repeat,859707,859723,17,A
Pf3D7_07_v3,Mononucleotide Repeat,859771,859779,9,A
Pf3D7_07_v3,Mononucleotide Repeat,859864,859873,10,A
Pf3D7_07_v3,Mononucleotide Repeat,860183,860191,9,A
Pf3D7_07_v3,Mononucleotide Repeat,861115,861124,10,A
Pf3D7_07_v3,Mononucleotide Repeat,861275,861290,16,A
Pf3D7_07_v3,Mononucleotide Repeat,861386,861403,18,A
Pf3D7_07_v3,Mononucleotide Repeat,861430,861442,13,A
Pf3D7_07_v3,Mononucleotide Repeat,861539,861553,15,A
Pf3D7_07_v3,Mononucleotide Repeat,861849,861870,22,A
Pf3D7_07_v3,Mononucleotide Repeat,861964,861996,33,A
Pf3D7_07_v3,Mononucleotide Repeat,862242,862251,10,A
Pf3D7_07_v3,Mononucleotide Repeat,862286,862297,12,A
Pf3D7_07_v3,Mononucleotide Repeat,862580,862591,12,A
Pf3D7_07_v3,Mononucleotide Repeat,862598,862615,18,A
Pf3D7_07_v3,Mononucleotide Repeat,862734,862743,10,A
Pf3D7_07_v3,Mononucleotide Repeat,862966,862975,10,A
Pf3D7_07_v3,Mononucleotide Repeat,863371,863392,22,A
Pf3D7_07_v3,Mononucleotide Repeat,863456,863481,26,A
Pf3D7_07_v3,Mononucleotide Repeat,863733,863742,10,A
Pf3D7_07_v3,Mononucleotide Repeat,864724,864736,13,A
Pf3D7_07_v3,Mononucleotide Repeat,865699,865726,28,A
Pf3D7_07_v3,Mononucleotide Repeat,867998,868009,12,A
Pf3D7_07_v3,Mononucleotide Repeat,868891,868899,9,A
Pf3D7_07_v3,Mononucleotide Repeat,869177,869186,10,A
Pf3D7_07_v3,Mononucleotide Repeat,869230,869238,9,A
Pf3D7_07_v3,Mononucleotide Repeat,870643,870663,21,A
Pf3D7_07_v3,Mononucleotide Repeat,871378,871389,12,A
Pf3D7_07_v3,Mononucleotide Repeat,871437,871446,10,A
Pf3D7_07_v3,Mononucleotide Repeat,871759,871769,11,A
Pf3D7_07_v3,Mononucleotide Repeat,871816,871838,23,A
Pf3D7_07_v3,Mononucleotide Repeat,872389,872399,11,A
Pf3D7_07_v3,Mononucleotide Repeat,873055,873063,9,A
Pf3D7_07_v3,Mononucleotide Repeat,873813,873822,10,A
Pf3D7_07_v3,Mononucleotide Repeat,875315,875324,10,A
Pf3D7_07_v3,Mononucleotide Repeat,875707,875717,11,A
Pf3D7_07_v3,Mononucleotide Repeat,875781,875790,10,A
Pf3D7_07_v3,Mononucleotide Repeat,876050,876058,9,A
Pf3D7_07_v3,Mononucleotide Repeat,876283,876314,32,A
Pf3D7_07_v3,Mononucleotide Repeat,876594,876604,11,A
Pf3D7_07_v3,Mononucleotide Repeat,876606,876614,9,A
Pf3D7_07_v3,Mononucleotide Repeat,877289,877297,9,A
Pf3D7_07_v3,Mononucleotide Repeat,877384,877396,13,A
Pf3D7_07_v3,Mononucleotide Repeat,877675,877684,10,A
Pf3D7_07_v3,Mononucleotide Repeat,877705,877727,23,A
Pf3D7_07_v3,Mononucleotide Repeat,878856,878866,11,A
Pf3D7_07_v3,Mononucleotide Repeat,878903,878922,20,A
Pf3D7_07_v3,Mononucleotide Repeat,878991,879006,16,A
Pf3D7_07_v3,Mononucleotide Repeat,879085,879093,9,A
Pf3D7_07_v3,Mononucleotide Repeat,879216,879225,10,A
Pf3D7_07_v3,Mononucleotide Repeat,879304,879329,26,A
Pf3D7_07_v3,Mononucleotide Repeat,879413,879439,27,A
Pf3D7_07_v3,Mononucleotide Repeat,879699,879708,10,A
Pf3D7_07_v3,Mononucleotide Repeat,880121,880130,10,A
Pf3D7_07_v3,Mononucleotide Repeat,880235,880254,20,A
Pf3D7_07_v3,Mononucleotide Repeat,880352,880360,9,A
Pf3D7_07_v3,Mononucleotide Repeat,880962,880971,10,A
Pf3D7_07_v3,Mononucleotide Repeat,881098,881124,27,A
Pf3D7_07_v3,Mononucleotide Repeat,881474,881496,23,A
Pf3D7_07_v3,Mononucleotide Repeat,881537,881566,30,A
Pf3D7_07_v3,Mononucleotide Repeat,881593,881602,10,A
Pf3D7_07_v3,Mononucleotide Repeat,881648,881658,11,A
Pf3D7_07_v3,Mononucleotide Repeat,881995,882004,10,A
Pf3D7_07_v3,Mononucleotide Repeat,882111,882129,19,A
Pf3D7_07_v3,Mononucleotide Repeat,882222,882230,9,A
Pf3D7_07_v3,Mononucleotide Repeat,882426,882434,9,A
